RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,1,Dustin Johnson,77,1.987,0.919,0.829,0.238,62
2,2,Francesco Molinari,73,1.61,0.69,0.593,0.327,57
3,3,Justin Thomas,91,1.563,0.408,0.844,0.311,68
4,4,Justin Rose,70,1.527,0.551,0.526,0.45,53
5,6,Henrik Stenson,60,1.36,0.427,0.96,-0.027,44
6,10,Rory McIlroy,64,1.351,0.761,0.269,0.322,51
7,9,Luke List,98,1.337,0.795,0.194,0.349,78
8,7,Tiger Woods,68,1.33,0.061,0.883,0.385,59
9,8,Tommy Fleetwood,73,1.282,0.58,0.405,0.296,54
10,5,Patrick Cantlay,87,1.278,0.622,0.509,0.146,67
11,12,Bryson DeChambeau,93,1.212,0.586,0.556,0.07,78
12,15,Ryan Moore,78,1.211,0.406,0.532,0.273,66
13,14,Tony Finau,105,1.203,0.481,0.5,0.222,81
14,13,Keegan Bradley,98,1.151,0.237,0.888,0.026,80
15,17,Byeong Hun An,86,1.091,0.475,0.448,0.167,73
T16,22,Hideki Matsuyama,75,1.064,0.194,0.727,0.143,57
T16,18,Adam Scott,78,1.064,0.3,0.639,0.125,60
18,16,Gary Woodland,96,1.059,0.803,0.484,-0.228,70
19,11,Brooks Koepka,64,1.052,0.658,0.232,0.162,54
20,19,Jon Rahm,71,1.039,0.817,0.047,0.176,51
21,21,Rickie Fowler,74,0.98,0.244,0.494,0.242,61
22,23,Kevin Streelman,94,0.868,0.439,0.415,0.014,82
23,24,Jordan Spieth,81,0.863,0.271,0.409,0.184,66
24,25,Scott Piercy,84,0.859,0.209,0.553,0.097,68
25,26,Rafa Cabrera Bello,75,0.839,0.256,0.487,0.096,48
26,27,Paul Casey,74,0.833,0.138,0.586,0.109,49
27,28,Zach Johnson,94,0.829,-0.059,0.463,0.425,72
28,29,Stewart Cink,87,0.81,0.057,0.698,0.055,67
29,20,Patrick Reed,94,0.783,0.051,0.187,0.545,63
30,32,J.B. Holmes,77,0.756,0.565,0.159,0.032,68
31,31,Webb Simpson,95,0.741,-0.116,0.486,0.37,81
32,33,Billy Horschel,86,0.72,0.538,0.352,-0.169,77
33,34,Joel Dahmen,93,0.677,0.3,0.381,-0.004,71
34,36,Kevin Chappell,77,0.668,0.608,0.296,-0.236,62
35,37,Chris Kirk,108,0.659,-0.048,0.518,0.19,96
36,38,Chesson Hadley,103,0.65,0.146,0.606,-0.102,89
37,39,Kyle Stanley,93,0.649,0.378,0.298,-0.027,67
38,40,Ian Poulter,73,0.627,0.141,0.435,0.051,50
