RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Jesper Parnevik,88,0.979,73.415,75
2,2,Tiger Woods,63,0.712,30.626,43
3,9,Tim Clark,66,0.695,36.839,53
4,4,Freddie Jacobson,70,0.66,44.863,68
5,3,Zach Johnson,76,0.659,39.541,60
6,5,Aaron Baddeley,83,0.629,41.504,66
7,7,Dean Wilson,92,0.619,46.427,75
8,6,Bob Estes,88,0.616,49.251,80
9,10,Tag Ridings,52,0.605,27.232,45
10,11,Rory Sabbatini,81,0.549,34.615,63
11,8,Chris Tidland,59,0.547,27.907,51
12,12,K.J. Choi,87,0.518,35.22,68
13,13,Brandt Snedeker,105,0.511,43.946,86
14,14,George McNeill,95,0.487,38.921,80
15,15,Craig Lile,77,0.484,33.398,69
16,16,José María Olazábal,52,0.481,17.793,37
17,17,Ryuji Imada,104,0.474,42.211,89
18,19,Luke Donald,69,0.438,21.877,50
19,18,Rich Barcelo,80,0.435,30.483,70
20,21,Parker McLachlin,83,0.419,30.617,73
21,24,Charlie Wi,90,0.416,34.512,83
22,20,Stewart Cink,91,0.412,29.635,72
23,23,Shigeki Maruyama,84,0.396,31.642,80
24,27,Brian Gay,107,0.384,37.257,97
25,26,Paul Goydos,60,0.37,17.396,47
26,28,Arron Oberholser,69,0.362,19.204,53
27,29,Joe Ogilvie,102,0.351,30.578,87
28,25,Kevin Na,84,0.348,27.148,78
29,22,Gavin Coles,87,0.34,26.177,77
30,30,Charles Howell III,89,0.338,22.322,66
T31,32,Steve Elkington,87,0.324,23.685,73
T31,31,Tom Pernice Jr.,104,0.324,27.22,84
33,33,Steve Stricker,81,0.322,20.937,65
34,34,Corey Pavin,81,0.309,21.915,71
35,T40,Dicky Pride,71,0.307,18.742,61
36,36,Henrik Stenson,52,0.3,10.782,36
37,57,Michael Sim,52,0.298,14.908,50
38,38,Jonathan Byrd,73,0.296,18.372,62
39,37,Tim Petrovic,106,0.29,27.579,95
40,39,Chris Riley,59,0.281,14.355,51
41,T40,David Toms,80,0.278,17.506,63
42,42,Sergio Garcia,68,0.269,14.787,55
43,43,Fred Funk,65,0.265,14.018,53
44,T44,Padraig Harrington,64,0.26,11.968,46
45,46,Steve Allan,63,0.259,14.243,55
46,35,Craig Bowden,78,0.255,17.071,67
47,51,Stephen Ames,81,0.251,15.549,62
48,48,Nathan Green,103,0.241,20.938,87
49,50,Richard Johnson,93,0.24,20.162,84
50,54,Vaughn Taylor,91,0.237,17.075,72
51,49,Carl Pettersson,111,0.232,21.381,92
52,47,Frank Lickliter II,95,0.227,19.332,85
53,63,Daniel Chopra,106,0.222,21.12,95
54,T59,Bob Heintz,85,0.221,15.929,72
55,62,Heath Slocum,101,0.22,20.491,93
56,52,Stephen Leaney,82,0.219,16.207,74
57,53,Hunter Mahan,91,0.213,15.347,72
58,56,Mark Hensby,81,0.204,14.658,72
59,T59,Bart Bryant,87,0.198,14.621,74
60,94,Bryce Molder,56,0.186,9.118,49
61,55,Sean O'Hair,98,0.18,14.974,83
62,64,Troy Matteson,87,0.169,12.814,76
T63,58,Andrew Buckle,77,0.161,10.806,67
T63,82,Tripp Isenhour,86,0.161,11.754,73
T65,T44,Bob Tway,103,0.16,14.064,88
T65,66,Bo Van Pelt,104,0.16,15.54,97
67,67,Phil Mickelson,73,0.156,8.119,52
68,68,Charley Hoffman,97,0.153,12.698,83
69,61,Jarrod Lyle,77,0.149,9.985,67
70,71,Ryan Moore,92,0.133,9.962,75
T71,74,Adam Scott,69,0.129,6.992,54
T71,70,Ryan Armour,107,0.129,12.125,94
73,80,Justin Leonard,95,0.124,10.158,82
74,72,Lucas Glover,98,0.113,8.796,78
75,79,John Rollins,102,0.104,8.757,84
76,77,Marco Dawson,73,0.103,6.711,65
77,65,Ryan Palmer,91,0.102,8.366,82
