RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
1,1,Cameron Champ,78,317.9,48322,152
2,2,Rory McIlroy,72,313.5,40123,128
3,3,Luke List,66,313.3,39481,126
4,5,Dustin Johnson,73,312.0,41178,132
5,4,Wyndham Clark,87,311.8,53004,170
6,6,Bubba Watson,65,311.6,36142,116
7,7,Seth Reeves,73,311.4,41733,134
8,8,Trey Mullinax,77,310.2,45285,146
9,9,Tony Finau,89,309.5,49523,160
T10,10,Cam Davis,76,309.0,44493,144
T10,T13,Brooks Koepka,81,309.0,40794,132
12,T13,Jhonattan Vegas,75,308.3,44401,144
13,12,Gary Woodland,87,308.2,46842,152
14,15,Sam Burns,80,307.2,47917,156
15,16,Byeong Hun An,80,307.1,39920,130
16,17,J.B. Holmes,78,306.7,38648,126
T17,20,Jason Kokrak,94,306.4,50250,164
T17,18,Ollie Schniederjans,77,306.4,43513,142
19,19,Phil Mickelson,63,306.3,36755,120
20,21,Jon Rahm,75,305.6,39113,128
21,22,Patrick Cantlay,77,304.7,41440,136
22,23,Sepp Straka,78,304.4,43833,144
23,24,Brandon Harkins,91,304.3,50515,166
24,T28,Xander Schauffele,77,304.1,37706,124
T25,T25,Martin Trainer,63,303.8,37069,122
T25,T25,Kevin Tway,84,303.8,43741,144
27,T28,Alex Prugh,77,303.7,43122,142
T28,T25,Justin Rose,66,303.2,35171,116
T28,30,Keith Mitchell,86,303.2,45475,150
30,31,Rickie Fowler,76,303.1,46071,152
31,32,Hideki Matsuyama,91,303.0,48481,160
32,33,Charles Howell III,94,302.8,50270,166
33,34,Aaron Wise,72,302.6,41763,138
T34,39,Bryson DeChambeau,75,302.5,43555,144
T34,T35,Sergio Garcia,53,302.5,26616,88
T34,T35,Brendan Steele,68,302.5,32672,108
37,40,Justin Thomas,75,302.2,38682,128
T38,T37,Jason Day,69,302.0,33819,112
T38,T37,Harold Varner III,84,302.0,49521,164
40,41,Nick Watney,87,301.7,45248,150
41,42,Joaquin Niemann,98,301.5,55474,184
42,43,Danny Lee,83,301.4,46415,154
43,44,Alex Noren,63,301.1,31314,104
T44,T45,Harris English,97,301.0,54774,182
T44,T45,Carlos Ortiz,84,301.0,49366,164
T44,T45,Daniel Berger,70,301.0,39735,132
47,48,Adam Schenk,102,300.8,60155,200
48,49,Sung Kang,86,300.5,48074,160
49,50,Max Homa,82,300.2,48029,160
50,51,John Chin,58,300.0,32399,108
51,52,Sam Saunders,78,299.9,44388,148
52,53,Patrick Rodgers,55,299.8,30579,102
53,54,Beau Hossler,87,299.4,44913,150
54,55,Adam Scott,63,299.3,31731,106
55,56,Jimmy Walker,74,299.2,39488,132
56,57,Chase Wright,75,299.1,41274,138
57,58,Martin Laird,88,298.9,47816,160
58,59,Sebastián Muñoz,86,298.8,47814,160
59,62,Tommy Fleetwood,71,298.7,35841,120
60,60,Ryan Palmer,74,298.6,34637,116
61,61,Keegan Bradley,89,298.5,44182,148
62,63,Paul Casey,79,298.4,37597,126
63,64,Chesson Hadley,76,297.6,39287,132
64,65,Peter Uihlein,84,297.5,41646,140
65,66,Talor Gooch,54,297.4,32119,108
66,71,Corey Conners,90,297.3,51132,172
T67,T67,Cody Gribble,74,297.2,39236,132
T67,T67,Mackenzie Hughes,80,297.2,45176,152
69,69,Scott Stallings,82,297.0,43958,148
70,70,Cameron Tringale,73,296.9,38599,130
71,T72,Patrick Reed,93,296.8,49855,168
72,T72,Tyrrell Hatton,62,296.6,29655,100
T73,T74,Dylan Frittelli,83,296.5,48028,162
T73,T74,Sangmoon Bae,60,296.5,32026,108
T73,T74,Jim Knous,57,296.5,31427,106
76,77,Dominic Bozzelli,73,296.4,39721,134
77,T84,Louis Oosthuizen,71,296.3,33181,112
78,78,Marc Leishman,76,296.2,37908,128
T79,T80,Lucas Glover,94,296.1,53306,180
T79,79,Bronson Burgoon,59,296.1,30198,102
T81,T80,Seamus Power,80,295.9,42608,144
T81,T80,Shawn Stefani,80,295.9,44983,152
T81,T87,Sungjae Im,122,295.9,67473,228
84,83,Roger Sloan,88,295.8,49695,168
T85,T84,Emiliano Grillo,85,295.7,39033,132
T85,T84,Hunter Mahan,59,295.7,34894,118
87,T87,Charley Hoffman,74,295.6,36658,124
T88,T89,Jordan Spieth,82,295.2,46634,158
T88,T89,Hudson Swafford,59,295.2,33653,114
90,91,Branden Grace,76,295.1,33050,112
91,92,Patton Kizzire,76,294.9,38932,132
92,94,Cameron Smith,79,294.2,36485,124
T93,T95,Wes Roach,69,294.1,37062,126
T93,T95,Matt Jones,88,294.1,49414,168
95,97,Hank Lebioda,76,294.0,41154,140
T96,T98,Sam Ryder,76,293.9,39969,136
T96,T98,Joey Garber,63,293.9,33502,114
T98,T100,J.T. Poston,100,293.8,56411,192
T98,T100,Danny Willett,63,293.8,34669,118
100,102,Stephan Jaeger,77,293.7,41712,142
101,103,Richy Werenski,89,293.6,48739,166
102,104,Bud Cauley,82,293.4,48110,164
T103,105,Troy Merritt,69,293.3,33439,114
T103,107,Abraham Ancer,93,293.3,46923,160
105,106,Anders Albertson,68,293.2,37530,128
T106,T108,Si Woo Kim,87,292.4,43278,148
T106,T108,Kiradech Aphibarnrat,65,292.4,31582,108
T106,T108,Joel Dahmen,100,292.4,51457,176
T106,T108,Scott Piercy,90,292.4,45620,156
110,112,Peter Malnati,87,292.2,48510,166
111,113,Nick Taylor,97,292.1,54327,186
T112,T114,Josh Teater,73,292.0,39126,134
T112,T114,Adam Long,76,292.0,44386,152
T114,T116,Julián Etulain,70,291.8,37936,130
T114,T116,Kevin Streelman,83,291.8,47278,162
T114,T116,Billy Horschel,99,291.8,46683,160
T117,T120,Bill Haas,77,291.5,40224,138
T117,T120,Ian Poulter,65,291.5,29153,100
119,122,Adam Hadwin,86,291.2,43101,148
T120,T123,Austin Cook,68,291.0,32591,112
T120,T123,Kramer Hickok,79,291.0,44810,154
122,125,Denny McCarthy,89,290.8,47107,162
T123,T127,J.J. Spaun,90,290.4,42982,148
T123,T127,Tom Hoge,98,290.4,49956,172
T125,T129,Kelly Kraft,87,290.2,44695,154
T125,T129,Anirban Lahiri,73,290.2,37723,130
T125,T129,José de Jesús Rodríguez,67,290.2,37720,130
T125,T129,Fabián Gómez,62,290.2,35990,124
129,133,Jason Dufner,74,290.1,37133,128
T130,T134,Chris Stroud,70,289.8,35938,124
T130,T134,Adam Svensson,73,289.8,38839,134
T132,T136,Nate Lashley,70,289.6,39385,136
T132,T136,Rafa Cabrera Bello,71,289.6,32436,112
T132,T136,Kevin Na,65,289.6,27800,96
135,139,Matt Kuchar,87,289.5,46326,160
T136,T140,Rory Sabbatini,97,289.4,53831,186
T136,T140,Jonas Blixt,82,289.4,43988,152
T136,T140,Curtis Luck,65,289.4,34154,118
T139,T143,Ryan Blaum,90,289.2,47425,164
T139,T143,Russell Knox,79,289.2,39332,136
141,145,Kyle Stanley,81,288.9,36980,128
142,146,J.J. Henry,58,288.8,30035,104
T143,T147,Francesco Molinari,61,288.7,28870,100
T143,T147,Robert Streb,80,288.7,41568,144
T145,149,Scott Brown,86,288.6,47337,164
T145,150,Webb Simpson,81,288.6,45020,156
T147,T151,Brian Harman,91,288.4,46719,162
T147,T151,Michael Thompson,71,288.4,40948,142
149,153,Jim Herman,52,288.3,27680,96
150,154,Tyler Duncan,89,288.2,47842,166
151,155,Matt Fitzpatrick,54,287.9,27064,94
152,156,Russell Henley,78,287.7,40274,140
153,157,Zach Johnson,64,287.5,36799,128
T154,T158,Roberto Díaz,73,287.4,37363,130
T154,T158,Brice Garnett,87,287.4,44260,154
T156,162,Brandt Snedeker,102,287.2,49969,174
T156,160,Ben Silverman,70,287.2,39058,136
